瘤痢,斥档,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公
剐剧,2000,2000-10-30,2老,2000-11-07,3老, , , , , , ,2000-10-29,2老,2000-11-06,3老, , , , , , 
剐剧,2001,2001-10-26,-2老,2001-11-04,0老, , , , , , ,2001-10-25,-2老,2001-11-03,0老, , , , , , 
剐剧,2002,2002-11-01,4老,2002-11-07,3老, , , , , , ,2002-10-29,2老,2002-11-04,1老, , , , , , 
剐剧,2003,2003-10-19,-9老,2003-10-24,-11老, , , , , , ,2003-10-15,-12老,2003-10-24,-10老, , , , , , 
剐剧,2004,2004-10-27,-1老,2004-11-02,-2老, , , , , , ,2004-10-26,-1老,2004-11-03,0老, , , , , , 
剐剧,2005,2005-10-21,-7老,2005-10-28,-7老, , , , , , ,2005-10-22,-5老,2005-10-29,-5老, , , , , , 
剐剧,2006,2006-10-29,1老,2006-11-05,1老, , , , , , ,2006-11-01,5老,2006-11-07,4老, , , , , , 
剐剧,2007,2007-11-03,6老,2007-11-07,3老, , , , , , ,2007-11-02,6老,2007-11-07,4老, , , , , , 
合芒盔,1991,1991-10-26, ,1991-11-05, , , , , , , ,1991-10-24, ,1991-11-08, , , , , , , 
魂没,1989,1989-10-19,-9老,1989-10-28,-6老, , ,1989-11-04, ,1989-11-12, ,1989-10-19,-8老,1989-10-26,-8老, , ,1989-11-06, ,1989-11-16, 
魂没,1990,1990-10-24,-4老,1990-10-30,-4老, , ,1990-11-05, ,1990-11-11, ,1990-10-27,0老,1990-11-06,3老, , ,1990-11-14, ,1990-11-24, 
魂没,1991,1991-10-26,-2老,1991-10-30,-4老, , , , , , ,1991-10-26,-1老,1991-10-31,-3老, , , , , , 
魂没,1992,1992-10-24,-4老,1992-10-29,-5老, , , , , , ,1992-10-26,-1老,1992-10-31,-3老, , , , , , 
魂没,1993,1993-10-26,-2老,1993-10-30,-4老, , , , , , ,1993-10-26,-1老,1993-10-30,-4老, , , , , , 
魂没,1994,1994-10-19,-9老,1994-10-24,-10老, , , , , , ,1994-10-22,-5老,1994-10-28,-6老, , , , , , 
魂没,1995,1995-10-24,-4老,1995-10-30,-4老, , , , , , ,1995-10-26,-1老,1995-11-03,0老, , , , , , 
魂没,1996,1996-10-25,-3老,1996-10-31,-3老, , , , , , ,1996-10-29,2老,1996-11-08,5老, , , , , , 
魂没,1997,1997-10-20,-8老,1997-10-27,-7老, , , , , , ,1997-10-23,-4老,1997-10-31,-3老, , , , , , 
魂没,1998,1998-11-07,10老,1998-11-11,8老, , , , , , ,1998-11-03,7老,1998-11-08,5老, , , , , , 
魂没,1999,1999-10-31,3老,1999-11-05,2老, , , , , , ,1999-10-30,3老,1999-11-05,2老, , , , , , 
魂没,2000,2000-11-04,7老,2000-11-09,6老, , , , , , ,2000-11-02,6老,2000-11-07,4老, , , , , , 
魂没,2001,2001-11-01,4老,2001-11-07,4老, , , , , , ,2001-10-29,2老,2001-11-04,1老, , , , , , 
魂没,2002,2002-11-04,7老, , , , , , , , ,2002-10-30,3老,2002-11-05,2老, , , , , , 
魂没,2003,2003-11-02,5老,2003-11-06,3老, , , , , , ,2003-10-29,2老,2003-11-03,0老, , , , , , 
魂没,2004,2004-11-04,7老,2004-11-09,6老, , , , , , ,2004-10-30,3老,2004-11-04,1老, , , , , , 
魂没,2005,2005-10-27,-1老,2005-11-02,-1老, , , , , , ,2005-10-24,-3老,2005-10-30,-4老, , , , , , 
魂没,2006,2006-10-14,-14老,2006-10-30,-4老, , , , , , ,2006-10-10,-17老,2006-10-25,-9老, , , , , , 
魂没,2007,2007-11-02,5老,2007-11-10,7老, , , , , , ,2007-10-30,3老,2007-11-05,2老, , , , , , 
柳林,1974,1974-10-26,-4老,1974-11-02,-3老, , , , , , ,1974-11-01,0老,1974-11-06,-1老, , , , , , 
柳林,1989,1989-10-20,-10老,搬螟,—, , ,搬螟,—,搬螟,—,1989-10-24,-8老,搬螟,—, , ,搬螟,—,搬螟,—
柳林,1990,1990-10-26,-4老,1990-11-03,-2老, , ,1990-11-07, ,1990-11-12, ,1990-10-28,-4老,1990-11-07,0老, , ,1990-11-10, ,1990-11-15, 
柳林,1991,1991-10-25,-5老,1991-10-30,-6老, , , , , , ,1991-10-21,-11老,1991-10-29,-9老, , , , , , 
柳林,1992,1992-11-06,7老,1992-11-11,6老, , , , , , ,1992-11-06,5老,1992-11-16,9老, , , , , , 
柳林,1994,1994-11-11,12老,1994-11-14,9老, , , , , , ,1994-11-16,15老,1994-11-19,12老, , , , , , 
柳林,1995,1995-11-08,9老,1995-11-11,6老, , , , , , ,1995-11-11,10老,1995-11-15,8老, , , , , , 
柳林,1996,1996-10-27,-3老,1996-11-06,1老, , , , , , ,1996-10-27,-5老,1996-11-06,-1老, , , , , , 
柳林,1997,1997-10-29,-1老,1997-11-02,-3老, , , , , , ,1997-10-26,-6老,1997-10-31,-7老, , , , , , 
柳林,1998,1998-11-04,5老,1998-11-12,7老, , , , , , ,1998-11-04,3老,1998-11-12,5老, , , , , , 
柳林,1999,1999-10-29,-1老,1999-11-03,-2老, , , , , , ,1999-10-30,-2老,1999-11-03,-4老, , , , , , 
柳林,2000,2000-11-02,3老,2000-11-05,0老, , , , , , ,2000-11-02,1老,2000-11-05,-2老, , , , , , 
柳林,2001,2001-11-03,4老,2001-11-07,2老, , , , , , ,2001-11-05,4老,2001-11-09,2老, , , , , , 
柳林,2002,2002-10-30,0老,2002-11-05,0老, , , , , , ,2002-10-30,-2老,2002-11-05,-2老, , , , , , 
柳林,2003,2003-11-01,2老,2003-11-05,0老, , , , , , ,2003-10-31,-1老,2003-11-05,-2老, , , , , , 
柳林,2004,2004-11-01,2老,2004-11-07,2老, , , , , , ,2004-10-28,-4老,2004-11-05,-2老, , , , , , 
柳林,2005,2005-10-29,-1老,2005-11-03,-2老, , , , , , ,2005-11-02,1老,2005-11-09,2老, , , , , , 
柳林,2006,2006-11-01,2老,2006-11-06,1老, , , , , , ,2006-10-31,-1老,2006-11-03,-4老, , , , , , 
柳林,2007,2007-10-26,-4老,2007-11-05,0老, , , , , , ,2007-10-30,-2老,2007-11-07,0老, , , , , , 
柳林,2008,2008-10-23,-7老,2008-11-05,0老, , , , , , ,2008-10-25,-7老,2008-11-04,-3老, , , , , , 
柳林,2009,2009-10-30,0老,2009-11-06,1老, , , , , , ,2009-11-04,3老,2009-11-09,2老, , , , , , 
柳林,2010,2010-10-22,-8老,2010-11-01,-4老, , , , , , ,2010-10-25,-7老,2010-11-03,-4老, , , , , , 
柳林,2011,2011-10-19,-11老,2011-10-28,-8老, , , , , , ,2011-10-27,-5老,2011-11-04,-3老, , , , , , 
柳林,2012,2012-10-30,0老,2012-11-07,2老, , , , , , ,2012-11-07,6老,2012-11-10,3老, , , , , , 
柳林,2013,2013-10-25,-5老,2013-11-04,-1老, , , , , , ,2013-11-01,0老,2013-11-08,1老, , , , , , 
柳林,2014,2014-10-13,-17老,2014-10-22,-14老, , , , , , ,2014-10-18,-14老,2014-10-24,-14老, , , , , , 
芒盔,1987,1987-10-23,-8老,1987-10-31,-9老, , , , , , , , , , , , , , , , 
芒盔,1988,1988-11-09,9老,1988-11-17,8老, , , , , , , , , , , , , , , , 
芒盔,1989,1989-10-20,-11老,1989-10-24,-16老, , , , , , ,1989-10-23,-8老,1989-10-27,-14老, , , , , , 
芒盔,1990,1990-10-28,-3老,1990-11-10,1老, , , , , , ,1990-10-26,-5老,1990-10-30,-11老, , , , , , 
芒盔,1991,1991-10-21,-10老,1991-10-27,-13老, , , , , , ,1991-10-26,-5老,1991-10-31,-10老, , , , , , 
芒盔,1992,1992-10-20,-11老,1992-10-26,-14老, , , , , , ,1992-10-21,-10老,1992-10-28,-13老, , , , , , 
芒盔,1993,1993-10-29,-2老,1993-11-05,-4老, , , , , , ,1993-10-31,0老,1993-11-07,-3老, , , , , , 
芒盔,1994,1994-10-25,-6老,1994-10-30,-10老, , , , , , ,1994-10-27,-4老,1994-11-02,-8老, , , , , , 
芒盔,1995,1995-10-31,0老,1995-11-09,0老, , , , , , ,1995-11-01,1老,1995-11-08,-2老, , , , , , 
芒盔,1996,1996-10-28,-3老,1996-11-07,-2老, , , , , , ,1996-10-28,-3老,1996-11-06,-4老, , , , , , 
芒盔,1997,1997-10-10,-21老,1997-10-31,-9老, , , , , , ,1997-10-12,-19老,1997-10-30,-11老, , , , , , 
芒盔,1998,1998-11-13,13老,1998-11-20,11老, , , , , , ,1998-11-07,7老,1998-11-18,8老, , , , , , 
芒盔,1999,1999-11-02,2老,1999-11-09,0老, , , , , , ,1999-11-03,3老,1999-11-10,0老, , , , , , 
芒盔,2000,2000-11-03,3老,2000-11-09,0老, , , , , , ,2000-11-03,3老,2000-11-10,0老, , , , , , 
芒盔,2001,2001-11-02,2老,2001-11-10,1老, , , , , , ,2001-11-01,1老,2001-11-09,-1老, , , , , , 
芒盔,2002,2002-10-31,0老,2002-11-08,-1老, , , , , , ,2002-10-30,-1老,2002-11-07,-3老, , , , , , 
芒盔,2003,2003-10-27,-4老,2003-11-04,-5老, , , , , , ,2003-10-28,-3老,2003-11-05,-5老, , , , , , 
芒盔,2004,2004-10-30,-1老,2004-11-07,-2老, , , , , , ,2004-10-29,-2老,2004-11-05,-5老, , , , , , 
芒盔,2005,2005-11-04,4老,2005-11-11,2老, , , , , , ,2005-11-04,4老,2005-11-10,0老, , , , , , 
芒盔,2006,2006-11-17,17老,2006-11-26,17老, , , , , , ,2006-11-18,18老,2006-11-26,16老, , , , , , 
芒盔,2007,2007-10-27,-4老,2007-11-16,7老, , , , , , ,2007-10-25,-6老,2007-11-16,6老, , , , , , 
芒盔,2008,2008-10-29,-2老,2008-11-11,2老, , , , , , ,2008-10-27,-4老,2008-11-10,0老, , , , , , 
芒盔,2009,2009-10-30,-1老,2009-11-05,-4老, , , , , , ,2009-11-03,3老,2009-11-09,-1老, , , , , , 
芒盔,2010,2010-10-26,-5老,2010-11-01,-8老, , , , , , ,2010-10-27,-4老,2010-11-01,-9老, , , , , , 
芒盔,2011,2011-10-28,-3老,2011-11-03,-6老, , , , , , ,2011-10-25,-6老,2011-11-03,-7老, , , , , , 
芒盔,2012,2012-10-29,-2老,2012-11-07,-2老, , , , , , ,2012-10-29,-2老,2012-11-07,-3老, , , , , , 
芒盔,2013,2013-10-30,-1老,2013-11-08,-1老, , , , , , ,2013-10-31,0老,2013-11-10,0老, , , , , , 
芒盔,2014,2014-11-05,5老,2014-11-15,6老, , , , , , ,2014-11-05,5老,2014-11-15,5老, , , , , , 
芒盔,2015,2015-11-05,5老,2015-11-16,7老, , , , , , ,2015-11-05,5老,2015-11-16,6老, , , , , , 
芒盔,2016, , , , , , , , , , ,2016-11-01,1老, , , , , , , , 
芒盔,2017, , , , , , , , , , ,2017-11-06,6老,2017-11-17,7老, , , , , , 
芒盔,2018, , , , , , , , , , ,2018-11-05,5老,2018-11-14,4老, , , , , , 
芒盔,2019, , , , , , , , , , ,2019-11-05,5老,2019-11-19,9老, , , , , , 
芒盔,2020,2020-11-07,7老,2020-11-15,6老, , , , , , ,2020-10-30,-1老,2020-11-12,2老, , , , , , 
芒盔,2021,2021-11-08,8老,2021-11-15,6老, , , , , , ,2021-11-02,2老,2021-11-16,6老, , , , , , 
芒盔,2022,2022-11-05,5老,2022-11-08,-1老, , , , , , ,2022-10-24,-7老,2022-11-05,-5老, , , , , , 
芒盔,2023,2023-11-10,10老,2023-11-20,11老, , , , , , ,2023-11-06,6老,2023-11-17,7老, , , , , , 
烹康,1990,1990-10-26,-5老,1990-11-12,-3老, , ,1990-11-17, ,1990-11-28, ,1990-10-22,-10老,1990-11-10,-6老, , ,1990-11-19, ,1990-11-29, 
烹康,1991,1991-10-23,-8老,1991-11-16,1老, , , , , , ,1991-10-21,-11老,1991-11-15,-1老, , , , , , 
烹康,1992,1992-10-20,-11老,1992-11-12,-3老, , , , , , ,1992-10-24,-8老,1992-11-14,-2老, , , , , , 
烹康,1993,1993-10-24,-7老,1993-11-14,-1老, , , , , , ,1993-10-28,-4老,1993-11-16,0老, , , , , , 
烹康,1994,1994-10-24,-7老,1994-11-05,-10老, , , , , , ,1994-10-24,-8老,1994-11-07,-9老, , , , , , 
烹康,1995,1995-10-27,-4老,1995-11-24,9老, , , , , , ,1995-10-27,-5老,1995-11-26,10老, , , , , , 
烹康,1996,1996-10-30,-1老, , , , , , , , ,1996-10-26,-6老, , , , , , , , 
烹康,1997,1997-10-26,-5老, , , , , , , , ,1997-10-27,-5老, , , , , , , , 
烹康,1998,1998-11-04,4老,1998-11-20,5老, , , , , , ,1998-11-07,6老,1998-11-20,4老, , , , , , 
烹康,1999,1999-11-03,3老,1999-11-22,7老, , , , , , ,1999-11-09,8老,1999-11-22,6老, , , , , , 
烹康,2000,2000-11-01,1老,2000-11-19,4老, , , , , , ,2000-11-03,2老,2000-11-19,3老, , , , , , 
烹康,2001,2001-11-01,1老,2001-11-17,2老, , , , , , ,2001-11-01,0老,2001-11-18,2老, , , , , , 
烹康,2002,2002-11-01,1老,2002-11-13,-2老, , , , , , ,2002-11-01,0老,2002-11-13,-3老, , , , , , 
烹康,2003,2003-11-03,3老,2003-11-13,-2老, , , , , , ,2003-11-04,3老,2003-11-14,-2老, , , , , , 
烹康,2004,2004-11-03,3老,2004-11-15,0老, , , , , , ,2004-10-18,-14老,2004-11-10,-6老, , , , , , 
烹康,2005,2005-11-02,2老,2005-11-11,-4老, , ,2005-11-15, , , ,2005-11-08,7老,2005-11-20,4老, , , , , , 
烹康,2006,2006-11-16,16老,2006-11-23,8老, , , , , , ,2006-11-16,15老,2006-11-21,5老, , , , , , 
烹康,2007,2007-11-03,3老,2007-11-12,-3老, , , , , , ,2007-11-04,3老,2007-11-15,-1老, , , , , , 
烹康,2008,2008-11-02,2老,2008-11-21,6老, , , , , , ,2008-11-02,1老,2008-11-21,5老, , , , , , 
烹康,2009,2009-10-30,-1老,2009-11-09,-6老, , , , , , ,2009-11-02,1老,2009-11-13,-3老, , , , , , 
烹康,2010,2010-10-31,0老,2010-11-10,-5老, , , , , , ,2010-11-01,0老,2010-11-12,-4老, , , , , , 
烹康,2011,2011-10-31,0老,2011-11-10,-5老, , , , , , ,2011-11-01,0老,2011-11-12,-4老, , , , , , 
烹康,2012,2012-10-31,0老,2012-11-10,-5老, , , , , , ,2012-11-01,0老,2012-11-11,-5老, , , , , , 
烹康,2013,2013-10-30,-1老,2013-11-11,-4老, , , , , , ,2013-10-31,-1老,2013-11-11,-5老, , , , , , 
钦玫,1985,1985-10-02,-22老, , , , , , , , , , ,1985-11-13,13老, , , , , , 
钦玫,1988,1988-10-20,-4老, , , , , , , , ,1988-10-20,2老, , , , , , , , 
钦玫,1989,1989-10-16,-8老, , , , ,1989-10-25, ,1989-10-31, ,1989-10-16,-2老,1989-10-24,-7老, , ,1989-10-26, ,1989-10-31, 
钦玫,1990,1990-10-20,-4老,搬螟,—, , ,1990-11-04, ,1990-11-15, ,1990-10-20,2老,搬螟,—, , ,1990-11-06, ,1990-11-17, 
钦玫,1991,1991-10-23,-1老,1991-11-01,-2老, , , , , , ,1991-10-22,4老,1991-11-01,1老, , , , , , 
钦玫,1992,1992-10-18,-6老,1992-10-31,-3老, , , , , , ,1992-10-15,-3老,1992-10-31,0老, , , , , , 
钦玫,1993,1993-10-16,-8老,1993-10-28,-6老, , , , , , ,1993-10-16,-2老,1993-10-25,-6老, , , , , , 
钦玫,1994,1994-10-05,-19老,1994-10-18,-16老, , , , , , ,1994-10-08,-10老,1994-10-24,-7老, , , , , , 
钦玫,1995,1995-10-07,-17老,1995-10-21,-13老, , , , , , ,1995-10-12,-6老,1995-10-29,-2老, , , , , , 
钦玫,1996,1996-10-18,-6老,1996-10-31,-3老, , , , , , ,1996-10-18,0老,1996-10-31,0老, , , , , , 
钦玫,1997,1997-10-12,-12老,1997-10-24,-10老, , , , , , ,1997-10-10,-8老,1997-10-22,-9老, , , , , , 
钦玫,1998,1998-10-30,6老,1998-11-07,4老, , ,1998-10-28, ,1998-11-09, ,1998-10-20,2老,1998-11-06,6老, , ,1998-10-18, ,搬螟,—
钦玫,1999,1999-10-28,4老,1999-11-09,6老, , , , , , ,1999-10-18,0老,1999-10-28,-3老, , , , , , 
钦玫,2000,2000-10-30,6老,2000-11-06,3老, , , , , , ,2000-10-18,0老,2000-10-27,-4老, , , , , , 
钦玫,2001,2001-10-24,0老,2001-10-31,-3老, , , , , , ,2001-10-11,-7老,2001-10-20,-11老, , , , , , 
钦玫,2002,2002-10-26,2老,2002-11-01,-2老, , , , , , ,2002-10-17,-1老,2002-10-26,-5老, , , , , , 
钦玫,2003,2003-10-31,7老,2003-11-05,2老, , , , , , ,2003-10-19,1老,2003-11-01,1老, , , , , , 
钦玫,2004,2004-11-01,8老,2004-11-07,4老, , , , , , ,2004-10-26,8老,2004-11-06,6老, , , , , , 
钦玫,2005,2005-11-04,11老,2005-11-11,8老, , , , , , ,2005-10-24,6老,2005-11-05,5老, , , , , , 
钦玫,2006,2006-11-05,12老,2006-11-13,10老, , , , , , ,2006-10-27,9老,2006-11-09,9老, , , , , , 
钦玫,2007,2007-10-25,1老,2007-11-07,4老, , , , , , ,2007-10-24,6老,2007-11-06,6老, , , , , , 
钦玫,2008,2008-10-20,-4老,2008-11-05,2老, , , , , , ,2008-10-20,2老,2008-11-06,6老, , , , , , 
备固,1989,1989-10-17,-6老,1989-10-20,-10老, , ,1989-10-28, ,1989-10-31, ,1989-10-15,-8老,1989-10-19,-11老, , ,1989-11-02, ,1989-11-07, 
备固,1990,1990-10-17,-6老,1990-10-22,-8老, , ,1990-10-29, ,1990-11-05, ,1990-10-18,-5老,1990-10-23,-7老, , ,1990-11-07, ,1990-11-14, 
备固,1991,1991-10-21,-2老,1991-10-28,-2老, , , , , , ,1991-10-22,-1老,1991-10-29,-1老, , , , , , 
备固,1992,1992-10-26,3老,1992-11-01,2老, , , , , , ,1992-10-26,3老,1992-11-02,3老, , , , , , 
备固,1993,1993-10-13,-10老,1993-10-20,-10老, , , , , , ,1993-10-14,-9老,1993-10-22,-8老, , , , , , 
备固,1994,1994-10-11,-12老,1994-10-17,-13老, , , , , , ,1994-10-13,-10老,1994-10-19,-11老, , , , , , 
备固,1995,1995-10-10,-13老,1995-10-17,-13老, , , , , , ,1995-10-11,-12老,1995-10-19,-11老, , , , , , 
备固,1996,1996-10-20,-3老,1996-10-26,-4老, , , , , , ,1996-10-22,-1老,1996-10-28,-2老, , , , , , 
备固,1997,1997-10-16,-7老,1997-10-20,-10老, , , , , , ,1997-10-17,-6老,1997-10-23,-7老, , , , , , 
备固,1998,1998-10-24,1老,1998-11-05,6老, , , , , , ,1998-10-26,3老,1998-11-07,8老, , , , , , 
备固,1999,1999-10-23,0老,1999-10-27,-3老, , , , , , ,1999-10-23,0老,1999-10-28,-2老, , , , , , 
备固,2000,2000-10-22,-1老,2000-10-28,-2老, , , , , , ,2000-10-24,1老,2000-10-29,-1老, , , , , , 
备固,2001,2001-10-18,-5老,2001-10-25,-5老, , , , , , ,2001-10-20,-3老,2001-10-27,-3老, , , , , , 
备固,2002,2002-10-21,-2老,2002-10-29,-1老, , , , , , ,2002-10-22,-1老,2002-10-30,0老, , , , , , 
备固,2003,2003-10-25,2老,2003-10-31,1老, , , , , , ,2003-10-24,1老,2003-10-29,-1老, , , , , , 
备固,2004,2004-10-21,-2老,2004-10-27,-3老, , , , , , ,2004-10-19,-4老,2004-10-25,-5老, , , , , , 
备固,2005,2005-10-24,1老,2005-10-30,0老, , , , , , ,2005-10-24,1老,2005-10-30,0老, , , , , , 
备固,2006,2006-10-27,4老,2006-11-04,5老, , , , , , ,2006-10-25,2老,2006-11-03,4老, , , , , , 
备固,2007,2007-10-29,6老,2007-11-02,3老, , , , , , ,2007-10-29,6老,2007-11-04,5老, , , , , , 
备固,2008,2008-10-29,6老,2008-11-06,7老, , , , , , ,2008-10-30,7老,2008-11-08,9老, , , , , , 
备固,2009,2009-10-26,3老,2009-11-03,4老, , , , , , ,2009-10-28,5老,2009-11-03,4老, , , , , , 
备固,2010,2010-10-28,5老,2010-11-07,8老, , , , , , ,2010-10-30,7老,2010-11-08,9老, , , , , , 
备固,2011,2011-10-25,2老,2011-11-02,3老, , , , , , ,2011-10-26,3老,2011-11-04,5老, , , , , , 
备固,2012,2012-10-24,1老,2012-11-01,2老, , , , , , ,2012-10-26,3老,2012-11-02,3老, , , , , , 
备固,2013,2013-10-26,3老,2013-11-04,5老, , , , , , ,2013-10-23,0老,2013-10-31,1老, , , , , , 
备固,2014,2014-10-22,-1老,2014-10-29,-1老, , , , , , ,2014-10-21,-2老,2014-10-29,-1老, , , , , , 
巩版,1989,1989-10-20,-2老,搬螟,—, , ,1989-10-28, ,搬螟,—,1989-10-17,-7老,搬螟,—, , ,搬螟,—,搬螟,—
巩版,1990,1990-10-20,-2老,搬螟,—, , ,1990-10-28, ,搬螟,—,1990-10-17,-7老,搬螟,—, , ,1990-11-02, ,搬螟,—
巩版,1991,搬螟,—,搬螟,—, , , , , , ,1991-10-21,-3老,搬螟,—, , , , , , 
巩版,1992,1992-10-15,-7老, , , , , , , , ,1992-10-20,-4老,1992-10-27,-5老, , , , , , 
巩版,1993,1993-10-12,-10老,1993-10-28,-3老, , , , , , ,1993-10-26,2老,1993-11-01,0老, , , , , , 
巩版,1994,1994-10-21,-1老,1994-10-27,-4老, , , , , , ,1994-10-26,2老,1994-11-02,1老, , , , , , 
巩版,1995,1995-10-21,-1老,1995-11-07,7老, , , , , , ,1995-10-23,-1老,1995-11-07,6老, , , , , , 
巩版,1996,1996-10-21,-1老,1996-10-31,0老, , , , , , ,1996-10-23,-1老,1996-11-02,1老, , , , , , 
巩版,1997,1997-10-18,-4老,1997-10-31,0老, , , , , , ,1997-10-20,-4老, , , , , , , , 
巩版,1998,1998-10-24,2老,1998-11-02,2老, , , , , , ,1998-10-24,0老,1998-11-02,1老, , , , , , 
巩版,1999,1999-10-21,-1老,1999-10-26,-5老, , , , , , ,1999-10-21,-3老,1999-10-26,-6老, , , , , , 
巩版,2000,2000-10-20,-2老,2000-10-26,-5老, , , , , , ,2000-10-20,-4老,2000-10-26,-6老, , , , , , 
巩版,2001,2001-10-25,3老,2001-11-01,1老, , , , , , ,2001-10-26,2老,2001-11-02,1老, , , , , , 
巩版,2002,2002-10-25,3老,2002-10-30,-1老, , , , , , ,2002-10-25,1老,2002-10-31,-1老, , , , , , 
巩版,2003,2003-10-22,0老,2003-10-29,-2老, , , , , , ,2003-10-24,0老,2003-10-30,-2老, , , , , , 
巩版,2004,2004-10-25,3老,2004-10-31,0老, , , , , , ,2004-10-27,3老,2004-11-02,1老, , , , , , 
巩版,2005,2005-10-23,1老,2005-10-31,0老, , , , , , ,2005-10-25,1老,2005-11-02,1老, , , , , , 
巩版,2006,2006-10-26,4老,2006-11-02,2老, , , , , , ,2006-10-25,1老,2006-11-03,2老, , , , , , 
豪拳,1990,1990-10-21,6老,1990-10-26,5老, , ,1990-10-29, ,1990-11-05, , , , , , , , , , , 
豪拳,1991,1991-10-18,3老,1991-10-21,0老, , , , , , ,1991-10-02,-12老,1991-10-11,-9老, , , , , , 
豪拳,1992,1992-10-18,3老,1992-10-22,1老, , , , , , ,1992-10-11,-3老,1992-10-17,-3老, , , , , , 
豪拳,1993,1993-10-20,5老,1993-10-23,2老, , , , , , ,1993-10-07,-7老,1993-10-15,-5老, , , , , , 
豪拳,1994,1994-10-14,-1老,1994-10-17,-4老, , , , , , ,1994-10-04,-10老,1994-10-14,-6老, , , , , , 
豪拳,1995,1995-10-17,2老,1995-10-20,-1老, , , , , , ,1995-10-11,-3老,1995-10-16,-4老, , , , , , 
豪拳,1996,1996-10-16,1老,1996-10-20,-1老, , , , , , ,1996-10-08,-6老,1996-10-14,-6老, , , , , , 
豪拳,1997,1997-10-08,-7老,1997-10-13,-8老, , , , , , ,1997-10-08,-6老,1997-10-12,-8老, , , , , , 
豪拳,1998,1998-10-12,-3老,1998-10-18,-3老, , , , , , ,1998-10-20,6老,1998-10-26,6老, , , , , , 
豪拳,1999,1999-10-17,2老,1999-10-22,1老, , , , , , ,1999-10-18,4老,1999-10-25,5老, , , , , , 
豪拳,2000,2000-10-14,-1老,2000-10-19,-2老, , , , , , ,2000-10-15,1老,2000-10-22,2老, , , , , , 
豪拳,2001,2001-10-13,-2老,2001-10-18,-3老, , , , , , ,2001-10-15,1老,2001-10-21,1老, , , , , , 
豪拳,2002,2002-10-14,-1老,2002-10-23,2老, , , , , , ,2002-10-15,1老,2002-10-23,3老, , , , , , 
豪拳,2003,2003-10-13,-2老,2003-10-22,1老, , , , , , ,2003-10-17,3老,2003-10-24,4老, , , , , , 
豪拳,2004,2004-10-11,-4老,2004-10-18,-3老, , , , , , ,2004-10-13,-1老,2004-10-19,-1老, , , , , , 
豪拳,2005,2005-10-13,-2老,2005-10-22,1老, , , , , , ,2005-10-16,2老,2005-10-23,3老, , , , , , 
豪拳,2006,2006-10-09,-6老,2006-10-17,-4老, , , , , , ,2006-10-13,-1老,2006-10-18,-2老, , , , , , 
豪拳,2007,2007-10-23,8老,2007-10-30,9老, , , , , , ,2007-10-25,11老,2007-11-02,13老, , , , , , 
豪拳,2008,2008-10-18,3老, , , , , , , , ,2008-10-20,6老, , , , , , , , 
惑林,2002,2002-10-15,-5老,2002-10-30,-1老, , , , , , ,2002-10-13,-8老,2002-10-29,-3老, , , , , , 
惑林,2003,2003-10-13,-7老,2003-10-25,-6老, , , , , , ,2003-10-12,-9老,2003-10-24,-8老, , , , , , 
惑林,2004,2004-10-15,-5老,2004-10-26,-5老, , , , , , ,2004-10-17,-4老,2004-10-27,-5老, , , , , , 
惑林,2005,2005-10-18,-2老,2005-10-29,-2老, , , , , , ,2005-10-18,-3老,2005-10-30,-2老, , , , , , 
惑林,2006,2006-10-24,4老,2006-10-30,-1老, , , , , , ,2006-10-24,3老,2006-10-31,-1老, , , , , , 
惑林,2007,2007-10-31,11老,2007-11-06,6老, , , , , , ,2007-10-31,10老,2007-11-06,5老, , , , , , 
惑林,2008,2008-10-20,0老,2008-11-05,5老, , , , , , ,2008-10-27,6老,2008-11-07,6老, , , , , , 
惑林,2009,2009-10-19,-1老,2009-10-28,-3老, , , , , , ,2009-10-23,2老,2009-10-30,-2老, , , , , , 
惑林,2010,2010-10-26,6老,2010-11-03,3老, , , , , , ,2010-10-28,7老,2010-11-03,2老, , , , , , 
惑林,2011,2011-10-19,-1老,2011-10-28,-3老, , , , , , ,2011-10-19,-2老,2011-10-28,-4老, , , , , , 
惑林,2012,2012-10-17,-3老,2012-10-30,-1老, , , , , , ,2012-10-17,-4老,2012-10-30,-2老, , , , , , 
惑林,2013,2013-10-18,-2老,2013-11-04,4老, , , , , , ,2013-10-18,-3老,2013-11-04,3老, , , , , , 
惑林,2014,2014-10-18,-2老,2014-11-04,4老, , , , , , ,2014-10-18,-3老,2014-11-04,3老, , , , , , 
救悼,1986,1986-10-18,0老, , , , , , , , , , , , , , , , , , 
救悼,1989,1989-10-11,-7老,1989-10-21,-7老, , ,1989-10-27, ,1989-11-11, ,1989-10-11,-8老,1989-10-23,-6老, , ,1989-11-01, ,1989-11-18, 
救悼,1990,1990-10-12,-6老,1990-10-21,-7老, , ,1990-10-24, ,1990-11-11, ,1990-10-14,-5老,1990-10-23,-6老, , ,1990-10-29, ,1990-11-20, 
救悼,1991,1991-10-13,-5老,1991-10-22,-6老, , ,1991-10-25, ,1991-11-12, ,1991-10-10,-9老,1991-10-23,-6老, , , , , , 
